text	label
Pelosi; One way or another Joe Biden will be President.	0
Whistleblower claims top DHS officials sought to alter intelligence assessments to fit Trump's comments	0
"LISTEN IF ANYONE DOESNT LIKE MY POSTS OF ME CALLING OUT THE CROOKS AND DEEP STATE!! I DONT CARE WHAT YOU THINK!!! UNFOLLOW ME OR SHUT THE FUCK UP!!!! IF YOU CANT HANDLE THE TRUTH AND WANT YOUR VOTES AND MONEY CONTINUE TO BE STOLEN DONT LISTEN!!!!

THESE CRIMINALS NEED TO BE EXPOSED!!!!

DONT LIKE TOO DAMN BAD!!!!!"	1
Black Chairman of Proud Boys Speaks Out after Liars Joe Biden and Chris Wallace Call Them White Supremacists	1
This is why you build the wall! Democrats are ignorant. #MAGA2020 	1
Mask police have no respect from me. off, they are not Americans. Let them know how you feel about them if they try to give you a ticket, or worse. They dont deserve our respect. their families, get a job elsewhere...!	1
US Military Says It Killed Terrorist Leader Who Plotted Kenya Attack	0
So tired of all the leftist shite. The UK is finished. At least Americans could declare their stateindependent and run the vile bastards out of town. They are not worth living with.	1
Looks like is down to Europe to save the world from Globalism.......  we're fucked.	0
"If a man speaks or acts with a pure thought,
happiness follows him, like a shadow that never leaves him.
- The Buddha"	0
"ER of Rand Memorial Hospital in Freeport Grand Bahama,
Patients evacuated
 ... its always the surge"	0
Senate Acquits Trump on Both Articles of Impeachment	0
"Ya can't make this up !
Former Obama Vice President JOE BIDEN Is Now WANTED ON CLASS A FELONY CHARGES In Ukraine"	0
The CDC adds the new symptoms of covid-19. Gunshot., stabbing, and strangulation	1
Facebook deceived users about the way it used phone numbers, facial recognition, FTC to allege in complaint	0
"STIMULUS BILL SHOULD BE ONE PIECE OF PAPER! MAYBE
TWO! INDIVIDUAL AMERICAN CITIZENS GET 2,000 CHILDREN 1,000 SMALL BUSINESS OWNERS WHATEVER THEY NEED! 
EVICTION RELIEF! AND SPECIAL PROTECTION FROM
UNREASONABLE LAW ENFORCEMENT ACTIONS!"	0
[Christ Jesus] made himself nothing. Philippians 2:7	0
WE THE PEOPLE MATTER SLEEP ON THAT AMERICA.	0
Here is a message for Juan Williams! Joe Biden is a racist creeper! If he becomes President because he is so racist he would turn you pure white! Juan Williams was fire from the NRP and Bill OReilly sadly for us, Gave him a break on Fox!	1
Thank you Senator Jensen !!! Excellent !!!	0
"PAIN COMES TO THOSE WHO DICTATE.......
Q SENT US.......
WE ARE ALL ABOUT TO FIND OUT WHAT WINNING IS ALL ABOUT.......
WWG1WGAWW       "	1
The left are fkn ugly ,they call Trump supporter's deplorable stupid dumb red necks seems these stupid dumb rednecks have their prez in the WH and a majority in the senate so you tell me who are the dumb & stupid ,,, DICKHEADS	1
"I just listened to a great podcast on the Rush Limbaugh app 
 
 
 
Cuomo is a KILLER! He shud be removed from office! If my mom had died in a convalescent hospital of the CCP VIRUS b/c of this incompetent baboon, I would not stop going after him for his murderous order sending Covid virus contaminated Pts. back into the Nursing homes. AND he is not the only stupid Blue State Guvs who did this! Wake up America our lives mean nothing to these DemonRats"	1
Now the blacks not only want welfare, free college, free healthcare, free housing, free food, free clothes, free transportation, free tampons, but they want the white mans money. Wake up and smell the dog shit. If you worked as hard at getting a job as you do to get everything for nothing, you would have everything mentioned above and be proud you earned it. At this point you have not earned it, sorry. This is all about the angry black Congress. You know the ones I mean. And the Cripster Lazy Al Sharpton	1
"Illegals No Longer Evade Capture. They Want to be Caught. But Why?
Because they get food, shelter, healthcare, and welfare and Vote
It pays to be illegal in America."	1
"Law Enforcement Suicide, Health Issues Both Medical and Emotional are Taking a Huge Toll on Our Cops. 

It's on Podcast"	0
Dan Bongino interview with President Trump!	0
It's me Josh	0
Interesting read, the cure already exists...	0
"Very Moving !!.. 

I Don't Know How President Trump Stands Tall !!..

The Movie ""Walking Tall"" Was Dedicated To The Life Sheriff Burford Pusser Of Tennessee !!..

I Truly Believe President Trump Is Also ""Walking Tall"" !!"	0
Its not about the virus, Its about Obedience.	0
LISTENING TO CHUCKIE AND PELOSI ABOYT ISIS ! I SAY BOMB THE DAMN PRISONS KILL EVER SINGLE ONE OF THEM! ITS NOT LIKE THEY ARE HUMANS !	1
